age,annual_income,credit_score,loan_amount,employment_years,num_credit_lines,debt_to_income_ratio,missed_payments_last_2yrs,savings_balance,loan_purpose,defaulted
50,60032,472,10083,2.2,13,0.633,No,No,home,Yes
40,39135,624,11640,0.5,13,0.555,Yes,3632,home,Yes
48,39923,524,1000,2.1,4,0.562,Yes,7036,home,Yes
41,85523,710,14090,4.6,5,0.461,No,7413,auto,No
26,63636,742,11560,3.0,4,0.385,No,No,education,No
37,50253,759,9775,8.5,9,0.225,No,19277,auto,No
33,44711,468,11323,1.3,13,0.5,Yes,3619,home,Yes
49,15608,563,8758,9.2,10,0.556,2,1349,auto,Yes
57,74405,655,11633,4.0,14,0.241,No,8213,home,No
27,47960,668,2305,0.6,9,0.433,Yes,3050,education,Yes
36,62194,743,15628,2.6,9,0.235,Yes,9902,auto,No
47,45271,720,3911,2.1,Yes,0.531,No,No,auto,Yes
22,35132,459,1000,1.3,3,0.399,2,5915,home,Yes
56,51592,730,15467,9.4,11,0.468,No,17720,home,No
39,36019,507,13384,5.0,10,0.409,3,2538,auto,Yes
44,47339,657,12507,10.0,14,0.391,Yes,6664,auto,No
56,58340,690,14104,7.7,13,0.471,No,3403,home,No
39,45086,474,14706,2.9,7,0.487,No,3651,personal,Yes
55,17413,569,21157,2.9,14,0.664,Yes,5082,personal,Yes
54,70811,720,1439,5.1,Yes,0.796,Yes,6632,education,Yes
25,64663,684,7304,3.9,4,0.314,No,17431,personal,No
22,79722,630,18841,4.1,8,0.341,No,11065,home,No
60,84817,762,21246,6.1,Yes,0.215,No,23995,home,No
47,42049,559,9053,3.0,11,0.591,2,6,education,Yes
44,18464,547,6642,0.1,3,0.573,Yes,6503,home,Yes
37,79021,751,24854,7.3,10,0.318,No,21761,auto,No
57,77483,660,10201,10.9,6,0.272,No,10137,home,No
26,72861,717,7535,13.6,12,0.309,Yes,20036,auto,No
61,74236,773,6950,10.7,4,0.232,No,21877,auto,No
40,81067,658,20650,5.8,9,0.259,No,7961,auto,No
44,37422,403,13439,3.7,14,0.501,No,No,personal,Yes
46,39830,675,6577,4.8,14,0.552,2,No,auto,Yes
37,77354,717,8231,13.8,13,0.329,Yes,21832,home,No
44,21495,519,14159,1.2,2,0.674,No,3490,personal,Yes
46,54675,691,18939,5.4,8,0.152,No,23572,education,No
22,44718,557,10204,13.0,4,0.189,Yes,21638,auto,No
30,64987,702,19030,3.1,4,0.131,No,27507,personal,No
40,23101,519,12859,5.5,3,0.611,No,No,home,Yes
60,52804,841,11867,6.7,10,0.244,Yes,9802,personal,No
47,42364,701,5406,5.0,8,0.377,No,5140,home,No
31,80316,762,12406,6.9,12,0.255,No,6889,personal,No
26,15849,494,28653,Yes,7,0.645,No,761,personal,Yes
36,20963,529,11852,5.2,9,0.286,2,3126,auto,Yes
53,46222,636,10260,No,4,0.59,2,1393,education,Yes
57,37441,715,19140,7.3,4,0.584,No,7135,home,Yes
41,57558,643,4212,0.3,10,0.28,No,17338,home,No
41,32263,464,1443,No,13,0.461,4,4578,home,Yes
35,10000,568,11168,No,7,0.823,2,5937,home,Yes
51,28429,516,14489,6.8,8,0.62,2,3159,personal,Yes
32,92882,765,13774,8.7,Yes,0.283,No,22530,personal,No
27,31339,528,12731,3.9,5,0.753,No,3338,auto,Yes
51,22207,638,9033,3.1,10,0.484,4,8169,auto,Yes
63,50190,660,15149,3.7,8,0.681,3,No,education,Yes
28,21228,680,14700,No,9,0.805,Yes,10359,education,Yes
39,25000,586,4749,7.2,2,0.324,No,24789,home,No
33,38578,480,14137,No,7,0.559,Yes,1161,personal,Yes
52,45935,621,5797,1.6,12,0.372,No,10789,home,Yes
64,87245,681,12358,5.4,13,0.091,Yes,24832,home,No
57,18766,720,14174,4.5,5,0.584,Yes,9229,auto,Yes
27,34322,476,16088,No,13,0.602,Yes,2599,personal,Yes
49,48697,725,19096,8.0,3,0.319,No,14463,home,No
57,44903,823,24775,2.6,7,0.235,No,19279,auto,No
59,54542,519,12824,4.2,7,0.25,3,1611,auto,Yes
63,69862,635,14379,2.3,7,0.48,Yes,2884,personal,Yes
33,14308,430,20143,8.8,3,0.528,Yes,9345,education,Yes
30,36184,850,7188,6.3,9,0.182,No,12036,home,No
42,55232,683,11131,10.7,10,0.334,No,17172,personal,No
42,71401,761,6081,14.6,13,0.3,No,15191,education,No
50,40413,610,19339,10.7,10,0.325,Yes,16764,education,No
52,40774,627,22042,6.1,14,0.223,No,8054,home,No
38,82772,715,14634,6.0,6,0.207,No,9426,auto,No
40,43934,580,18086,3.3,2,0.378,Yes,83,personal,Yes
28,43027,764,6857,9.8,7,0.396,No,9995,auto,No
24,73327,711,7828,4.2,13,0.465,2,18836,auto,No
36,38953,623,12788,6.9,5,0.523,3,5106,personal,Yes
34,61702,796,1000,9.0,Yes,0.438,No,8336,personal,No
44,51347,811,12064,8.1,7,0.076,No,11002,personal,No
39,47829,662,19373,2.7,14,0.318,Yes,17739,home,No
22,19225,538,13840,3.7,4,0.587,No,6114,education,Yes
49,77956,741,13499,9.5,11,0.406,No,31098,personal,No
41,18550,526,8059,3.9,6,0.546,Yes,8398,home,Yes
58,25000,584,21040,5.5,5,0.111,No,22374,education,No
25,52841,605,10450,No,12,0.565,No,2529,home,Yes
29,51631,720,27622,2.5,13,0.552,4,No,auto,Yes
24,77749,682,22411,7.7,5,0.318,Yes,26549,auto,No
43,32985,809,8632,15.7,10,0.142,No,14731,home,No
64,40167,725,6629,5.5,Yes,0.195,No,28755,home,No
24,77304,658,2583,2.2,14,0.337,2,6161,personal,No
39,53311,699,14425,3.3,10,0.146,No,30701,auto,No
42,59085,676,17677,8.3,9,0.276,Yes,22177,home,No
61,46471,746,16310,6.5,12,0.212,No,10750,auto,No
54,61511,632,9391,6.5,3,0.327,No,17623,education,No
27,41750,671,19064,4.6,2,0.61,Yes,2782,auto,Yes
59,32581,810,15468,4.4,3,0.113,No,23141,education,No
37,28797,525,21552,5.6,8,0.701,2,5008,home,Yes
26,66612,815,12863,9.4,8,0.448,Yes,22098,education,No
52,52847,841,6301,10.1,8,0.203,No,19565,personal,No
24,93450,808,1194,12.2,8,0.351,No,18706,home,No
50,25830,618,1000,5.1,3,0.467,2,435,auto,Yes
34,80284,706,11992,7.1,13,0.23,No,12068,home,No
44,64523,674,13449,15.2,5,0.367,No,12768,personal,No
